"dialogue_id","movie_title","movie_chapter","chapter_id","place_name","place_category","character_name","gender","house","species","dialogue","dialogue_no_spells"
6860,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Harry Potter","Male","Gryffindor","Human","What is that, Griphook?","What is that, Griphook?"
6854,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Merpeople","","","","Yes, sir, but our instructions are very specific --","Yes, sir, but our instructions are very specific --"
6874,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Griphook","Male","","Goblin","Go on.","Go on."
146,"Harry Potter and the Philosopher's Stone",6,6,"Gringotts Wizarding Bank","Diagon Alley","Rubeus Hagrid","Male","Gryffindor","Half-Human/Half-Giant","They're goblins, Harry. Clever as they come goblins, but not the most friendly of beasts. Best stick close to me.  Mr. Harry Potter wishes to make a withdrawal.","They're goblins, Harry. Clever as they come goblins, but not the most friendly of beasts. Best stick close to me.  Mr. Harry Potter wishes to make a withdrawal."
6909,"Harry Potter and the Deathly Hallows Part 2",6,214,"Gringotts Wizarding Bank","Diagon Alley","Hermione Granger","Female","Gryffindor","Human","It doesn't realize it's free!","It doesn't realize it's free!"
156,"Harry Potter and the Philosopher's Stone",6,6,"Gringotts Wizarding Bank","Diagon Alley","Rubeus Hagrid","Male","Gryffindor","Half-Human/Half-Giant","Best not mention this to anyone, Harry.","Best not mention this to anyone, Harry."
6840,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Bellatrix Lestrange","Female","Slytherin","Human","He's with me.","He's with me."
143,"Harry Potter and the Philosopher's Stone",6,6,"Gringotts Wizarding Bank","Diagon Alley","Harry Potter","Male","Gryffindor","Human","But, Hagrid, how am I to pay for all this? I haven't any money.","But, Hagrid, how am I to pay for all this? I haven't any money."
6872,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Ron Weasley","Male","Gryffindor","Human","Bloody hell. That's a Welsh Green.","Bloody hell. That's a Welsh Green."
6868,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Bogrod","Male","","Goblin","Is this your doing, Griphook? You have no rights here anymore. When you gave up your keys, you --","Is this your doing, Griphook? You have no rights here anymore. When you gave up your keys, you --"
154,"Harry Potter and the Philosopher's Stone",6,6,"Gringotts Wizarding Bank","Diagon Alley","Rubeus Hagrid","Male","Gryffindor","Half-Human/Half-Giant","Can't tell you, Harry. It's Hogwarts business. Very secret.","Can't tell you, Harry. It's Hogwarts business. Very secret."
150,"Harry Potter and the Philosopher's Stone",6,6,"Gringotts Wizarding Bank","Diagon Alley","Griphook","Male","","Goblin","Vault 687. Lamp, please.  Key please.","Vault 687. Lamp, please.  Key please."
6879,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Bogrod","Male","","Goblin","Hm? Oh. Yes. Of course.","Hm? Oh. Yes. Of course."
6862,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Harry Potter","Male","Gryffindor","Human","Well done. Hey.","Well done. Hey."
6848,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Bellatrix Lestrange","Female","Slytherin","Human","No, I most certainly do not understand --","No, I most certainly do not understand --"
6883,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Ron Weasley","Male","Gryffindor","Human","Blimey...","Blimey..."
6880,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Harry Potter","Male","Gryffindor","Human","Lumos !"," !"
6873,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Hermione Granger","Female","Gryffindor","Human","It looks like it's been down here forever.","It looks like it's been down here forever."
6876,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Hermione Granger","Female","Gryffindor","Human","That's barbaric. I...","That's barbaric. I..."
6843,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Griphook","Male","","Goblin","They know she's an imposter! They've been warned!","They know she's an imposter! They've been warned!"
6844,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Bogrod","Male","","Goblin","Madam Lestrange. Would you mind presenting your wand?","Madam Lestrange. Would you mind presenting your wand?"
6837,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Merpeople","","","","I see. Very well. Excuse me, won't you?","I see. Very well. Excuse me, won't you?"
6846,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Ron Weasley","Male","Gryffindor","Human","Harry, what do we do? Harry...?","Harry, what do we do? Harry...?"
6885,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Hermione Granger","Female","Gryffindor","Human","No wonder Bellatrix thought it was real.","No wonder Bellatrix thought it was real."
6850,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Harry Potter","Male","Gryffindor","Human","Imperio.","."
6849,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Bogrod","Male","","Goblin","I'm afraid I must insist.","I'm afraid I must insist."
6907,"Harry Potter and the Deathly Hallows Part 2",6,214,"Gringotts Wizarding Bank","Diagon Alley","Ron Weasley","Male","Gryffindor","Human","That's your idea?","That's your idea?"
6867,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Griphook","Male","","Goblin","We need him!","We need him!"
6904,"Harry Potter and the Deathly Hallows Part 2",6,214,"Gringotts Wizarding Bank","Diagon Alley","Ron Weasley","Male","Gryffindor","Human","You're asking us? You're the brilliant one.","You're asking us? You're the brilliant one."
6845,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Bellatrix Lestrange","Female","Slytherin","Human","And why should I do that?","And why should I do that?"
6830,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Griphook","Male","","Goblin","Good morning? Good morning? You're Bellatrix Lestrange, not some dewy-eyed schoolgirl!","Good morning? Good morning? You're Bellatrix Lestrange, not some dewy-eyed schoolgirl!"
6834,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Harry Potter","Male","Gryffindor","Human","C'mon. Let's do it.","C'mon. Let's do it."
6900,"Harry Potter and the Deathly Hallows Part 2",5,213,"Gringotts Wizarding Bank","Diagon Alley","Griphook","Male","","Goblin","Thieves! Help! Thieves!","Thieves! Help! Thieves!"
6882,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Hermione Granger","Female","Gryffindor","Human","Lumos !"," !"
6890,"Harry Potter and the Deathly Hallows Part 2",5,213,"Gringotts Wizarding Bank","Diagon Alley","Harry Potter","Male","Gryffindor","Human","That's it. Up there.","That's it. Up there."
6897,"Harry Potter and the Deathly Hallows Part 2",5,213,"Gringotts Wizarding Bank","Diagon Alley","Harry Potter","Male","Gryffindor","Human","We have a deal, Griphook.","We have a deal, Griphook."
6858,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Ron Weasley","Male","Gryffindor","Human","What's that? Up ahead.","What's that? Up ahead."
6853,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Bogrod","Male","","Goblin","I'm fully aware of that. I'm also aware the Lestranges are one of our oldest and most respected families.","I'm fully aware of that. I'm also aware the Lestranges are one of our oldest and most respected families."
6877,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Griphook","Male","","Goblin","We'll only have a few seconds. In other words... they'll be no do-","We'll only have a few seconds. In other words... they'll be no do-"
6892,"Harry Potter and the Deathly Hallows Part 2",5,213,"Gringotts Wizarding Bank","Diagon Alley","Harry Potter","Male","Gryffindor","Human","Give me the sword! The real one.","Give me the sword! The real one."
6861,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Harry Potter","Male","Gryffindor","Human","Griphook! What is that!","Griphook! What is that!"
6878,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Griphook","Male","","Goblin","Ready, Bogrod?","Ready, Bogrod?"
6869,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Ron Weasley","Male","Gryffindor","Human","Imperio!","!"
6836,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Bellatrix Lestrange","Female","Slytherin","Human","I wish to enter my vault.","I wish to enter my vault."
6851,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Bogrod","Male","","Goblin","Very well, Madam Lestrange. If you will follow me.","Very well, Madam Lestrange. If you will follow me."
6859,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Griphook","Male","","Goblin","I should have known --","I should have known --"
6881,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Ron Weasley","Male","Gryffindor","Human","Lumos !"," !"
6833,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Hermione Granger","Female","Gryffindor","Human","He's right. I was being stupid.","He's right. I was being stupid."
6855,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Bogrod","Male","","Goblin","Let me be specific with you, Ricbert. I've run this bank for forty-five years, long before anyone had even heard of a Death Eater. The day may come that they feel they can run this place better than me, but that day has not yet arrived. Am I understood!","Let me be specific with you, Ricbert. I've run this bank for forty-five years, long before anyone had even heard of a Death Eater. The day may come that they feel they can run this place better than me, but that day has not yet arrived. Am I understood!"
6863,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Griphook","Male","","Goblin","The Thief's Downfall. Washes away all enchantments. Can be deadly.","The Thief's Downfall. Washes away all enchantments. Can be deadly."
6870,"Harry Potter and the Deathly Hallows Part 2",4,212,"Gringotts Wizarding Bank","Diagon Alley","Griphook","Male","","Goblin","Well done.","Well done."
6888,"Harry Potter and the Deathly Hallows Part 2",5,213,"Gringotts Wizarding Bank","Diagon Alley","Hermione Granger","Female","Gryffindor","Human","Ron, your foot!","Ron, your foot!"
6901,"Harry Potter and the Deathly Hallows Part 2",6,214,"Gringotts Wizarding Bank","Diagon Alley","Ron Weasley","Male","Gryffindor","Human","Foul little git. Least we've got Bogrod.","Foul little git. Least we've got Bogrod."
6893,"Harry Potter and the Deathly Hallows Part 2",5,213,"Gringotts Wizarding Bank","Diagon Alley","Ron Weasley","Male","Gryffindor","Human","Keep going!","Keep going!"
6906,"Harry Potter and the Deathly Hallows Part 2",6,214,"Gringotts Wizarding Bank","Diagon Alley","Hermione Granger","Female","Gryffindor","Human","Relashio!","!"
